time,G_BOKI,S_IKBD,PI_HBOJ,SI_IKBP,CA_HBOP,G_plus_S_plus_PI_plus_SI,residual_GBP_million,share_G_var,share_S_var,share_PI_var,share_SI_var,share_sum
2006Q1,-20882.0,11523.0,42.0,-3219.0,-12536.0,-12536.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2006Q2,-18935.0,11850.0,-447.0,-2740.0,-10272.0,-10272.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2006Q3,-21435.0,15496.0,-3608.0,-2774.0,-12321.0,-12321.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2006Q4,-20840.0,15449.0,-1767.0,-3594.0,-10752.0,-10752.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2007Q1,-23185.0,14542.0,-3328.0,-3043.0,-15014.0,-15014.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2007Q2,-21107.0,15590.0,-2200.0,-3058.0,-10775.0,-10775.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2007Q3,-25210.0,16841.0,-5673.0,-3126.0,-17168.0,-17168.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2007Q4,-23898.0,16426.0,-2904.0,-4280.0,-14656.0,-14656.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2008Q1,-24029.0,14472.0,-619.0,-4019.0,-14195.0,-14195.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2008Q2,-25078.0,16850.0,-4763.0,-3656.0,-16647.0,-16647.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2008Q3,-23730.0,17230.0,-4425.0,-3542.0,-14467.0,-14467.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2008Q4,-23033.0,20438.0,-11224.0,-2417.0,-16236.0,-16236.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2009Q1,-22856.0,18028.0,-6984.0,-3750.0,-15562.0,-15562.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2009Q2,-22212.0,17613.0,-5818.0,-4411.0,-14828.0,-14828.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2009Q3,-22242.0,16400.0,838.0,-3798.0,-8802.0,-8802.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2009Q4,-21657.0,17605.0,-1048.0,-3323.0,-8423.0,-8423.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2010Q1,-22475.0,17164.0,146.0,-4556.0,-9721.0,-9721.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2010Q2,-23555.0,18314.0,446.0,-4305.0,-9100.0,-9100.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2010Q3,-26431.0,18614.0,-528.0,-4923.0,-13268.0,-13268.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2010Q4,-26760.0,19947.0,643.0,-6246.0,-12416.0,-12416.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2011Q1,-20881.0,21271.0,1702.0,-5394.0,-3302.0,-3302.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2011Q2,-28317.0,22810.0,4809.0,-4470.0,-5168.0,-5168.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2011Q3,-29550.0,24396.0,-449.0,-5652.0,-11255.0,-11255.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2011Q4,-25305.0,22313.0,879.0,-5392.0,-7505.0,-7505.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2012Q1,-24837.0,24838.0,-2474.0,-5188.0,-7661.0,-7661.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2012Q2,-30807.0,23038.0,-3662.0,-4768.0,-16199.0,-16199.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2012Q3,-28483.0,24242.0,-3447.0,-5192.0,-12880.0,-12880.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2012Q4,-28051.0,23363.0,-6377.0,-5852.0,-16917.0,-16917.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2013Q1,-27979.0,25934.0,-10875.0,-6406.0,-19326.0,-19326.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2013Q2,-31820.0,25274.0,-4636.0,-6475.0,-17657.0,-17657.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2013Q3,-29994.0,24929.0,-8034.0,-6834.0,-19933.0,-19933.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2013Q4,-32780.0,23101.0,-8024.0,-6148.0,-23851.0,-23851.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2014Q1,-29782.0,23269.0,-5860.0,-5827.0,-18200.0,-18200.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2014Q2,-28558.0,23483.0,-6871.0,-6310.0,-18256.0,-18256.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2014Q3,-32374.0,24638.0,-9677.0,-4660.0,-22073.0,-22073.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2014Q4,-36957.0,23336.0,-10864.0,-7284.0,-31769.0,-31769.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2015Q1,-34099.0,24131.0,-10019.0,-5789.0,-25776.0,-25776.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2015Q2,-27131.0,24450.0,-5592.0,-5948.0,-14221.0,-14221.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2015Q3,-29530.0,22368.0,-8416.0,-4835.0,-20413.0,-20413.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2015Q4,-30641.0,24098.0,-17742.0,-7511.0,-31796.0,-31796.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2016Q1,-31661.0,24282.0,-14804.0,-5787.0,-27970.0,-27970.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2016Q2,-30858.0,25375.0,-13991.0,-5685.0,-25159.0,-25159.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2016Q3,-38908.0,22976.0,-10295.0,-6480.0,-32707.0,-32707.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2016Q4,-32271.0,26655.0,-7643.0,-6056.0,-19315.0,-19315.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2017Q1,-32842.0,26893.0,-4507.0,-4989.0,-15445.0,-15445.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2017Q2,-33602.0,26085.0,-8163.0,-6972.0,-22652.0,-22652.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2017Q3,-35703.0,29084.0,-4805.0,-5789.0,-17213.0,-17213.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2017Q4,-32779.0,26811.0,-4928.0,-4669.0,-15565.0,-15565.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2018Q1,-32762.0,26252.0,-8586.0,-5853.0,-20949.0,-20949.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2018Q2,-31570.0,26773.0,-6302.0,-5735.0,-16834.0,-16834.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2018Q3,-32022.0,27781.0,-7183.0,-7386.0,-18810.0,-18810.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2018Q4,-37225.0,26699.0,-7183.0,-6540.0,-24249.0,-24249.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2019Q1,-50203.0,24808.0,-571.0,-6990.0,-32956.0,-32956.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2019Q2,-36313.0,27045.0,2647.0,-6435.0,-13056.0,-13056.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2019Q3,-31865.0,28193.0,-2560.0,-6640.0,-12872.0,-12872.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2019Q4,-16710.0,28058.0,-1775.0,-6551.0,3022.0,3022.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2020Q1,-28386.0,30777.0,-8765.0,-6231.0,-12605.0,-12605.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2020Q2,-11364.0,33753.0,-21654.0,-8959.0,-8224.0,-8224.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2020Q3,-31267.0,33177.0,-6142.0,-5103.0,-9335.0,-9335.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2020Q4,-46650.0,35628.0,-8405.0,-8209.0,-27636.0,-27636.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2021Q1,-39644.0,39711.0,226.0,-3648.0,-3355.0,-3355.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2021Q2,-31590.0,40841.0,-107.0,-4136.0,5008.0,5008.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2021Q3,-43583.0,34824.0,-1525.0,-5277.0,-15561.0,-15561.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2021Q4,-37031.0,37411.0,1542.0,-5574.0,-3652.0,-3652.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2022Q1,-62147.0,36752.0,-5103.0,-5982.0,-36480.0,-36480.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2022Q2,-57624.0,39154.0,8711.0,-6035.0,-15794.0,-15794.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2022Q3,-39412.0,44452.0,-2355.0,-5116.0,-2431.0,-2431.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2022Q4,-36213.0,47291.0,113.0,-5933.0,5258.0,5258.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2023Q1,-49549.0,45407.0,-10291.0,-5358.0,-19791.0,-19791.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2023Q2,-48900.0,39877.0,-20353.0,-5306.0,-34682.0,-34682.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2023Q3,-44840.0,38175.0,-4029.0,-5045.0,-15739.0,-15739.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2023Q4,-48847.0,36536.0,-11275.0,-4459.0,-28045.0,-28045.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2024Q1,-44126.0,39810.0,-10622.0,-5906.0,-20844.0,-20844.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2024Q2,-58111.0,46981.0,-8546.0,-3656.0,-23332.0,-23332.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2024Q3,-45751.0,47022.0,-13024.0,-2141.0,-13894.0,-13894.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2024Q4,-57034.0,50195.0,-15213.0,-5544.0,-27596.0,-27596.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2025Q1,-55228.0,45807.0,-7216.0,-4773.0,-21410.0,-21410.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2025Q2,-62834.0,51845.0,-8195.0,-4030.0,-23214.0,-23214.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2025Q3,-59366.0,53531.0,-739.0,-4115.0,-10689.0,-10689.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
2025Q4,-65496.0,53335.0,-2674.0,-3557.0,-18392.0,-18392.0,0.0,0.639509,-0.077832,0.390379,0.047944,1.0
